id,toxic,severe_toxic,obscene,threat,insult,identity_hate
b15ecd7a33e9b41f,0.0013641410041600466,6.872979156469228e-06,0.00014386465772986412,2.088212568196468e-05,1.8563623598311096e-05,3.837421900243498e-06
fb63265071afb259,0.0013659668620675802,6.875142389617395e-06,0.00014427748101297766,2.0959496396244504e-05,1.85809640242951e-05,3.8519929148606025e-06
3a927fb7bed5e815,0.0013933702139183879,6.93808397045359e-06,0.0001498164056101814,2.2082287614466622e-05,1.8934248146251775e-05,4.031916432722937e-06
6f25122f2ee8f5c3,0.0013648095773532987,6.871818186482415e-06,0.00014391967852134258,2.0907153157168068e-05,1.857146889960859e-05,3.843109425361035e-06
c6fb479685d8e2e6,0.001386928022839129,6.917377504578326e-06,0.00014847589773125947,2.182213393098209e-05,1.8845577869797125e-05,3.988764547102619e-06
2f1c9d20ea105c6d,0.093950055539608,0.00032429391285404563,0.007664249278604984,0.0019040139159187675,0.0031450148671865463,0.0008771982393227518
fdf17de4bbb80ab2,0.965851902961731,0.11482662707567215,0.36496245861053467,0.0728779286146164,0.5648719072341919,0.1296812742948532
eb43fa5284efde88,0.0013752274680882692,6.894583748362493e-06,0.00014611273945774883,2.1341185856726952e-05,1.8706219634623267e-05,3.910671694029588e-06
459b60ac9f202892,0.0014000341761857271,6.9582811192958616e-06,0.0001513627212261781,2.2366115445038304e-05,1.902405529108364e-05,4.0794002416078e-06
51e6147e8f482d1a,0.0013771383091807365,6.897970706631895e-06,0.00014644664770457894,2.141580444003921e-05,1.8726728740148246e-05,3.922976247849874e-06
9918e81e34e7a316,0.0013672977220267057,6.8750109676329885e-06,0.00014440465020015836,2.10046382562723e-05,1.8599419490783475e-05,3.8579046304221265e-06
7bd01ee80d5fe054,0.0013789224904030561,6.901174856466241e-06,0.00014679379819426686,2.149630199710373e-05,1.8747830836218782e-05,3.936835582862841e-06
6d35a0fe88303e9b,0.0014030367601662874,6.971172751946142e-06,0.0001521248195786029,2.2495640223496594e-05,1.907222940644715e-05,4.101225385966245e-06
ec4561b936cc937d,0.0013728091726079583,6.892224064358743e-06,0.0001456678583053872,2.124432648997754e-05,1.867898208729457e-05,3.895447662216611e-06
135b3d711b3faf9d,0.0013819403247907758,6.912734988873126e-06,0.00014752276183571666,2.1620850020553917e-05,1.879439332697075e-05,3.957587978220545e-06
5b4d9f095df45c21,0.001372664119116962,6.886757546453737e-06,0.00014558355906046927,2.1238189219729975e-05,1.8672515579964966e-05,3.895083864335902e-06
a0ba5f4693c4ed21,0.0013920929050073028,6.936701083759544e-06,0.00014963508874643594,2.2037120288587175e-05,1.8928252757177688e-05,4.02389969167416e-06
97b047dd7256b198,0.0013824425404891372,6.909887360961875e-06,0.00014753147843293846,2.1648207621183246e-05,1.8793531125993468e-05,3.960079993703403e-06
6a8190691a036c0c,0.001361732603982091,6.8639524215541314e-06,0.00014319008914753795,2.0769377442775294e-05,1.8534257833380252e-05,3.819476660282817e-06
5578739f87095f3a,0.0014625986805185676,7.130739504646044e-06,0.00016341544687747955,2.4799130187602714e-05,1.9912111383746378e-05,4.481056748772971e-06
891ce2360861825c,0.2333831489086151,0.0006724030827172101,0.0075012752786278725,0.005016235634684563,0.00819339882582426,0.002526228316128254
10b80ffad7a546b9,0.0013781997840851545,6.896674221934518e-06,0.00014669570373371243,2.146383121726103e-05,1.874169902293943e-05,3.930030743504176e-06
6465db231b4cbb51,0.0013651377521455288,6.872356152598513e-06,0.00014397526683751494,2.0916148059768602e-05,1.857359347923193e-05,3.8440221032942645e-06
3b56e2799ae3e9d1,0.0013717609690502286,6.8850363277306315e-06,0.00014528236351907253,2.1194102373556234e-05,1.86660181498155e-05,3.887020284309983e-06
2a088cd381802745,0.0013619380770251155,6.86446992403944e-06,0.00014321999333333224,2.0778945327037945e-05,1.853539106377866e-05,3.822446615231456e-06
03a03c8c4aeba5f3,0.0013709531631320715,6.886382379889255e-06,0.00014517863746732473,2.116590621881187e-05,1.8659184206626378e-05,3.881830707541667e-06
13614541f09cc164,0.0013979325303807855,6.953059710212983e-06,0.0001509221619926393,2.2277326934272423e-05,1.900991082948167e-05,4.06381059292471e-06
486a60200cf18f5b,0.0013594707706943154,6.8619697231042664e-06,0.0001427645911462605,2.068377216346562e-05,1.8509354049456306e-05,3.807115717791021e-06
53c436ab7d02f15f,0.06860431283712387,0.00034166531986556947,0.01301309559494257,0.0014253896661102772,0.0028739788103848696,0.000711828819476068
