id,toxic,severe_toxic,obscene,threat,insult,identity_hate
a818c1bb0a2ecab6,0.03978171572089195,0.013544943183660507,0.023171380162239075,0.002843503374606371,0.014710349962115288,0.003358397400006652
92647af04527a57d,0.04157460853457451,0.01305544562637806,0.023903748020529747,0.002880835672840476,0.014568457379937172,0.0031067421659827232
7d6cc99efbc1c92c,0.03739788755774498,0.013299348764121532,0.02379460074007511,0.0029807777609676123,0.013905583880841732,0.0032573086209595203
203ce75ab36c8b2b,0.09636865556240082,0.021538231521844864,0.05116068571805954,0.002930267248302698,0.02598002552986145,0.005948229227215052
e1eb4f245dfacc5c,0.04067692905664444,0.013043022714555264,0.023821046575903893,0.0028260708786547184,0.014574570581316948,0.0033039338886737823
5eb78507ec62160f,0.037053149193525314,0.014461417682468891,0.02316455915570259,0.002956523559987545,0.013612926006317139,0.003060785122215748
e912fa7041a5d4a3,0.030262703076004982,0.011595197953283787,0.019258398562669754,0.003118297550827265,0.01199393905699253,0.0026376645546406507
5d3c1d567f9dfeb8,0.056829556822776794,0.015865428373217583,0.03281741216778755,0.0030884863808751106,0.01772351935505867,0.004218239337205887
c4affe97dbe1266a,0.032154858112335205,0.0121155409142375,0.020063256844878197,0.0028693981003016233,0.012577888555824757,0.0028143746312707663
adbce66ca714a7b7,0.061914678663015366,0.016972782090306282,0.034113310277462006,0.002932544331997633,0.01900489255785942,0.004419802688062191
1e81012a3f2273f5,0.044010285288095474,0.014043072238564491,0.024484574794769287,0.002941715996712446,0.015083731152117252,0.003454892197623849
e4ed922fa4ba3b93,0.0831432044506073,0.020080404356122017,0.044219911098480225,0.0029944286216050386,0.023554231971502304,0.005400938913226128
badedff52fd7c9da,0.09498929232358932,0.020905936136841774,0.05037284642457962,0.002878665691241622,0.025300784036517143,0.006149438675493002
6ab9ec62b6cd0060,0.03568766638636589,0.013031236827373505,0.021219130605459213,0.002891849959269166,0.013500142842531204,0.0030982799362391233
c170d767fd15c231,0.04218193143606186,0.013163250871002674,0.023968001827597618,0.002896130783483386,0.01537063717842102,0.003211316419765353
